date,year,week,ili_rate,region_name,month,quarter,day_of_year,is_winter,is_flu_season,ili_rate_lag_1,ili_rate_lag_2,ili_rate_lag_4,ili_rate_rolling_mean_2,ili_rate_rolling_std_2,ili_rate_rolling_min_2,ili_rate_rolling_max_2,ili_rate_rolling_mean_4,ili_rate_rolling_std_4,ili_rate_rolling_min_4,ili_rate_rolling_max_4,ili_rate_rolling_mean_8,ili_rate_rolling_std_8,ili_rate_rolling_min_8,ili_rate_rolling_max_8,month_sin,month_cos,week_sin,week_cos,season_winter,season_spring,season_summer,season_fall,year_normalized,ili_rate_diff_1,ili_rate_diff_2,ili_rate_momentum,state_California,state_Florida,state_Illinois,state_Massachusetts,state_New Jersey,state_New York,state_Texas,state_Washington
2023-02-06,2023,6,1.49866,Washington,2,1,37,1,1,1.40135,1.44114,1.85538,1.421245,0.028135778823070313,1.40135,1.44114,1.5454375,0.20935842891633563,1.40135,1.85538,3.77193125,2.9600390065115114,1.40135,9.03203,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1,0,0,0,0.7142857142857143,0.09731000000000001,0.057520000000000016,-0.046777499999999916,False,False,False,False,False,False,False,True
2023-02-13,2023,7,1.44339,Washington,2,1,44,1,1,1.49866,1.40135,1.48388,1.450005,0.0688085608771234,1.40135,1.49866,1.4562575000000002,0.04398616022852398,1.40135,1.49866,2.83026,2.129318529892339,1.40135,7.24828,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,0,0,0,0.7142857142857143,-0.05527000000000015,0.042039999999999855,-0.012867500000000254,False,False,False,False,False,False,False,True
2023-02-20,2023,8,1.62809,Washington,2,1,51,1,1,1.44339,1.49866,1.44114,1.471025,0.0390817917959356,1.44339,1.49866,1.4461350000000002,0.0399877352028012,1.40135,1.49866,2.10464875,1.1910617112288409,1.40135,4.7523,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311558,1,0,0,0,0.7142857142857143,0.1847000000000001,0.12942999999999993,0.18195499999999987,False,False,False,False,False,False,False,True
2023-02-27,2023,9,1.4114,Washington,2,1,58,1,1,1.62809,1.44339,1.40135,1.53574,0.13060262248508242,1.44339,1.62809,1.4928725000000003,0.09855988581390258,1.40135,1.62809,1.7141225,0.5247259263858114,1.40135,2.96109,0.8660254037844386,0.5000000000000001,0.8854560256532098,0.4647231720437686,1,0,0,0,0.7142857142857143,-0.21669000000000005,-0.03198999999999996,-0.08147250000000028,False,False,False,False,False,False,False,True
2023-03-06,2023,10,1.45142,Washington,3,1,65,0,1,1.4114,1.62809,1.49866,1.519745,0.15322296841525077,1.4114,1.62809,1.495385,0.09553062842172415,1.4114,1.62809,1.52041125,0.15300871295809132,1.40135,1.85538,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0,1,0,0,0.7142857142857143,0.040019999999999945,-0.1766700000000001,-0.04396500000000003,False,False,False,False,False,False,False,True
2023-03-13,2023,11,1.53747,Washington,3,1,72,0,1,1.45142,1.4114,1.44339,1.43141,0.028298413382746437,1.4114,1.45142,1.4835749999999999,0.09788189158359589,1.4114,1.62809,1.46991625,0.07175298160817573,1.40135,1.62809,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,0,1,0,0,0.7142857142857143,0.08604999999999996,0.1260699999999999,0.053895000000000026,False,False,False,False,False,False,False,True
2023-03-20,2023,12,1.53583,Washington,3,1,79,0,1,1.53747,1.45142,1.62809,1.4944449999999998,0.06084653852094534,1.45142,1.53747,1.5070949999999999,0.09629757577417464,1.4114,1.62809,1.476615,0.07563915218243435,1.40135,1.62809,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,0,1,0,0,0.7142857142857143,-0.0016399999999998638,0.0844100000000001,0.028735000000000177,False,False,False,False,False,False,False,True
2023-03-27,2023,13,1.51605,Washington,3,1,86,0,1,1.53583,1.53747,1.4114,1.5366499999999998,0.0011596551129300038,1.53583,1.53747,1.4840300000000002,0.06292218103856126,1.4114,1.53747,1.48845125,0.07669618680001723,1.40135,1.62809,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16,0,1,0,0,0.7142857142857143,-0.01978000000000013,-0.021419999999999995,0.032019999999999715,False,False,False,False,False,False,False,True
2023-04-03,2023,14,1.47373,Washington,4,2,93,0,1,1.51605,1.53583,1.45142,1.5259399999999999,0.0139865721311883,1.51605,1.53583,1.5101925,0.04037268249261585,1.45142,1.53747,1.50278875,0.06835483835695866,1.4114,1.62809,0.8660254037844387,-0.49999999999999983,0.992708874098054,-0.12053668025532288,0,1,0,0,0.7142857142857143,-0.04231999999999991,-0.062100000000000044,-0.036462500000000064,False,False,False,False,False,False,False,True
2023-04-10,2023,15,1.24025,Washington,4,2,100,0,1,1.47373,1.51605,1.53747,1.4948899999999998,0.029924758979495317,1.47373,1.51605,1.51577,0.029668915270300213,1.47373,1.53747,1.4996725,0.06913378722256236,1.4114,1.62809,0.8660254037844387,-0.49999999999999983,0.9709418174260521,-0.2393156642875575,0,1,0,0,0.7142857142857143,-0.2334799999999999,-0.2757999999999998,-0.27552,False,False,False,False,False,False,False,True
2023-04-17,2023,16,1.28898,Washington,4,2,107,0,1,1.24025,1.47373,1.53583,1.3569900000000001,0.16509529127137662,1.24025,1.47373,1.441465,0.1366213525282536,1.24025,1.53583,1.47428,0.11491017920852181,1.24025,1.62809,0.8660254037844387,-0.49999999999999983,0.9350162426854148,-0.35460488704253545,0,1,0,0,0.7142857142857143,0.04872999999999994,-0.18474999999999997,-0.15248499999999998,False,False,False,False,False,False,False,True
